"Service","Glue($)","S3($)","CloudWatch($)","CloudTrail($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","DynamoDB($)","Config($)","GuardDuty($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","VPC($)","Transfer Family($)","Lambda($)","Athena($)","Route 53($)","Elastic Load Balancing($)","SQS($)","Neptune($)","Kinesis($)","Secrets Manager($)","Identity and Access Management Access Analyzer($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Elastic MapReduce($)","Systems Manager($)","Service Catalog($)","Redshift($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-12-20","1859.6834454682","303.2299706044","248.8491688521","269.589751","99.0594282342","82.9443635752","66.8197486249","62.0352946844","81.979401624","32.1726673584","46.27","35.1932202687","31.9245645207","22.848","16.8","16.646451612","18.4067395262","14.4","16.1792550677","13.21072","6.0375024","5.4004749627","4.9770883774","4.7853590784","3.8849045756","2.9600522584","","0.01","0.7280103744","0.2999150239","0.2180855267","0.206408196","0.193548384","0.03215","0.032258064","","0.006945","0.0042","0.00487968","0.0005058405","0.000197","0.0000118087","0.0000026276","0.0000006897","0.0000000649","","","0","","3368.024690954"
"2024-12-21","952.247136237","231.9938568956","206.5277277321","137.308628","90.4107550908","82.7399089864","66.8360159589","61.6750339297","19.724508624","31.6180514329","27.6145","26.5173574013","30.5839651352","22.848","16.8","16.646451612","15.8192716969","14.4","17.4855572901","5.00222","6.0419176","5.4000033333","5.2555297585","4.7862220784","3.87581312","2.8323472584","","0.03","0.7280103744","0.2918178071","0.2102029233","0.206408196","0.193548384","0.0224","0.032258064","","0.006765","0.0056","0.00487968","0.0000453857","0.000667","0.0000118087","0.0000012093","0.0000004598","0.0000000673","","","","","2104.7233955311"
"2024-12-22","895.5308170987","222.907673965","192.4835157641","141.618573","91.4855253015","82.4390703715","66.8027012361","60.4214625295","19.857291624","31.6924523639","33.3065","27.6699924868","30.5118591948","22.848","16.8","16.646451612","15.6485539802","14.4","17.4369554318","4.835845","6.037286","5.4000011268","5.4583143095","4.7874942784","3.873441037","2.8738972584","","0.02","0.7280103744","0.2968649604","0.2116968214","0.206408196","0.193548384","0.03813","0.032258064","","0.006825","0.0084","0.00487968","0.0007873971","0.000667","0.0000118087","0.0000016041","0.0000004598","0.0000000709","","","","","2035.5221647908"
"2024-12-23","737.5957345942","279.9392663213","213.980259952","209.854885","97.3706958693","82.7942517184","66.767428963","61.7095397373","81.941928624","29.744442636","47.707","28.9246691864","30.6163492312","22.848","16.8","16.646451612","15.7742125539","14.4","16.5760735041","36.848055","6.0416192","5.4006242492","5.2789468625","4.7864000784","3.8770783714","2.902207312","0.2","0.03","0.7292704634","0.2487776877","0.2165820308","0.206408196","0.193548384","0.03826","0.032258064","","0.006795","0.0042","0.00487968","0.0003831687","0.000676","0.0000118087","0.0000015012","0.0000004598","0.0000000721","","","","","2139.038173093"
"2024-12-24","893.3524406512","320.7048808397","212.2863354103","265.415012","95.3955745806","82.7746313388","66.7698406748","61.9127508344","86.775066624","33.0718831412","46.67","32.0922899275","30.8503048501","22.848","16.8","16.646451612","16.2439160982","14.4","17.9895379232","29.20357","6.0392612","5.4002368016","5.4299743369","4.7875100784","3.8708565642","2.9371000536","","0.02","0.7309862225","0.4745052144","0.216314871","0.206408196","0.193548384","0.03526","0.032258064","","0.006825","0.007","0.00487968","0.0003154039","0.000681","0.0000118087","0.0000015016","0.0000004598","0.0000000721","","","","0","2392.5964214187"
"2024-12-25","668.69080139","213.4333068649","190.1561785244","124.714073","96.904136651","82.9649104722","66.7383220717","61.9709112906","21.090177624","31.0455899749","32.3915","24.6207416658","29.9771925578","22.848","16.8","16.646451612","15.6989268387","14.4","4.6240052776","4.84951","6.0387488","5.4","5.1302296151","4.7871282784","3.8655305024","2.9160219352","","0.02","0.7321823208","0.4898630782","0.2111430658","0.206408196","0.193548384","0.0335","0.032258064","","0.006825","0.0098","0.00487968","0.0000990185","0.000666","0.0000118087","0.0000009409","0.0000002299","0.0000000733","","","","","1770.6435808068"
"2024-12-26","954.0720818969","279.2429064603","209.4821182599","188.059696","92.0835358072","83.1585877587","66.7353481979","62.0241636315","42.936243624","38.6806545775","45.826","32.5377639957","29.9089271742","22.848","16.8","16.646451612","16.0601001632","14.4","14.9871001378","9.243735","6.0419496","5.4","3.504626145","4.7860622784","3.8844055298","3.0409119352","","0.02","0.7322786858","0.9320246026","0.2144696502","0.206408196","0.193548384","0.05139","0.032258064","","0.006825","0.0056","0.00487968","0.0001356003","0.000669","0.0000118087","0.0000017446","0.0000006897","0.0000000721","","","","0","2264.7918709632"
"2024-12-27","787.7696338058","301.1373467543","207.8651482731","246.050232","96.6001035337","83.2391951799","66.7167281442","62.0421965783","76.454094624","37.6674230619","42.5365","32.6544131013","29.8786487895","22.848","16.8","16.646451612","16.0827821939","14.4","14.865232951","12.110725","6.0450904","5.4000046667","3.4310226324","4.7871492784","3.9025559135","2.9993219352","","17.44","0.732476496","0.5055446331","0.2160282671","0.206408196","0.193548384","0.02419","0.032258064","","0.006795","0.0042","0.00487968","0.0001583842","0.000841","0.0000118087","0.0000015938","0.0000004598","0.0000000721","","","0","","2230.2973424679"
"2024-12-28","673.3736030669","223.69173899","186.7011587242","132.447165","94.5385343522","83.1955502158","66.7057784247","61.5613708384","23.136438624","32.3816125364","32.586","25.3531222873","30.1479549786","22.848","16.8","16.646451612","15.6067578194","14.4","7.7850904203","5.011135","6.0399172","5.4","2.7417902292","4.7876310784","3.8763416895","2.9231719352","","0.02","0.732476496","0.3270561543","0.2077323236","0.206408196","0.193548384","0.01239","0.032258064","","0.006795","0.0042","0.00487968","0.0000481988","0.000185","0.0000118087","0.0000010575","0.0000004598","0.0000000733","","","","","1792.4343059185"
"2024-12-29","730.8410729414","261.7521767321","202.2139768438","138.60007","91.618814829","82.5424670191","66.658820171","61.5896616779","22.595631624","40.0657788495","34.2885","26.876940611","30.6368265273","22.848","16.8","16.646451612","15.9915046845","14.4","18.229786368","4.84841","6.0398668","5.400030876","3.537224631","4.7871260784","3.8763725946","2.9162319352","","0.03","0.732476496","0.5048795632","0.2128261362","0.206408196","0.193548384","0.01963","0.032258064","","0.006825","0.0084","0.00487968","0.0000453857","0.00067","0.0000118087","0.0000013254","0.0000004598","0.0000000709","","","","","1928.5546039757"
"2024-12-30","1112.9034878576","317.8901275856","202.5923315993","283.443433","100.2366135774","83.2354032329","66.6260343052","61.8731692935","91.170621624","31.2545832044","44.052","27.5878156231","29.8731993685","22.848","16.8","16.646451612","15.8444657894","14.4","12.7325359395","10.861935","6.039554","5.4000907558","2.7529934398","4.7871482784","3.8847010597","2.9658069352","","17.46","0.732476496","0.5237805981","0.2131834886","0.206408196","0.193548384","0.05026","0.032258064","","0.006795","0.0112","0.00487968","0.0001553004","0.000676","0.0000118087","0.0000014767","0.0000002299","0.0000000709","","","0","","2608.1381378746"
"2024-12-31","653.4533797115","290.3983181078","198.8604204707","210.596766","96.5163557359","82.9379491755","66.6613473043","61.8566625373","41.971293624","35.2104038327","36.0645","29.2328305495","30.4178023337","22.848","16.8","16.646451612","15.8898272145","14.4","20.491153229","9.17894","6.039374","5.4000293901","3.0239060165","4.7858988784","3.8839661633","2.9263669352","1.2","0.03","0.732476496","0.3512513477","0.2078731909","0.206408196","0.193548384","0.04753","0.032258064","","0.006855","0.0056","0.00487968","0.0001356042","0.000669","0.0000118087","0.0000007896","0.0000004598","0.0000000709","","","","","1979.5114409137"
