"Service","Glue($)","CloudWatch($)","EC2-Instances($)","Athena($)","S3($)","Relational Database Service($)","CloudTrail($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","EC2-Other($)","DMS($)","GuardDuty($)","DynamoDB($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","SQS($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","Lambda($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SageMaker($)","SES($)","SNS($)","Data Pipeline($)","Cost Explorer($)","API Gateway($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Comprehend($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-10-20","193.0220861605","115.1677880028","109.6304704935","1.05092","112.1531303371","93.3463474573","90.426884","62.7002722396","60.7177056957","34.361905368","38.552","29.7906294475","22.848","11.9956993091","15.4659929889","16.7805149002","14.4","14.4","16.646451612","5.5976003919","6.72","6.01487","5.4","4.7871578784","3.8717436507","2.4480062904","2.5919663743","0.7128526464","0.2061297127","0.206408196","0.193548384","","0.01463","0.0255649477","0.032258064","0.01","0.0006841172","0.006975","0.00487968","0.0028","0.000551","","0.000002283","0.0000006129","0.0000000661","","","","1092.3054273079"
"2024-10-21","712.0582968412","177.0915743533","117.9509362819","10.972305","159.2052221797","94.1790647997","179.928804","62.7158544834","61.7535717286","91.621141368","49.1145","29.8199888605","22.848","14.0842606052","15.4629906647","16.6528079049","14.4000002793","14.4","12.5254077918","5.5252782956","6.72","6.0166652","5.4001348889","4.7857942784","3.8780035327","2.4875655376","5.810322088","0.7128526464","0.2257710376","0.206408196","0.193548384","0.0389266565","0.04492","0.0290412186","0.032258064","0.03","0.0010568444","0.006855","0.00487968","0.0042","0.000568","","0.0000019147","0.0000006129","0.0000000661","","","","1898.9397792846"
"2024-10-22","1203.1404253305","224.6148189584","122.7714481158","23.69895","156.3765134801","96.4597309517","171.044287","62.7652929878","61.8656792406","88.241974368","57.6555","31.3444554765","22.848","17.4961843688","16.9856765126","19.0853284003","14.4","14.4","10.4954592319","17.4997470579","6.72","6.0202744","5.4002594883","4.7871064784","3.8809674955","2.586919516","1.1908219158","0.7128526464","0.2521403187","0.206408196","0.193548384","","0.04848","0.0190351307","0.032258064","0.01","0.0018383686","0.006825","0.00487968","0.0042","0.000157","","0.0000010289","0.0000004086","0.0000000661","","0","","2465.2684450669"
"2024-10-23","1271.726091702","204.5984886161","164.0006226606","27.23905","122.9025168073","95.8740906337","93.297715","62.8267035679","61.8502356047","64.581144948","63.5875","33.2438367538","22.848","15.8044573787","20.6663027178","19.453801598","14.4","14.4","12.6030820153","20.7085363719","6.72","6.0418788","5.4004998135","4.7879286784","3.8840081653","2.543774032","1.0791896374","0.7128526464","0.257927443","0.206408196","0.193548384","","0.06255","0.0232236549","0.032258064","0.03","0.0013933739","0.006795","0.00487968","0.0028","0.000615","","0.0000023262","0.0000004086","0.0000000649","","0","","2438.6047097443"
"2024-10-24","1380.8689733747","303.2933290822","177.9652633585","40.130735","159.0043685872","96.5631809375","171.13405","63.0178509685","61.8329921565","118.757120496","58.0035","32.68069008","22.848","18.3401670909","19.1830349073","18.5159226397","14.4","14.4","5.4276278976","20.9683552027","6.821420544","6.0421188","5.400373469","4.7859604784","3.8798416957","2.4613019888","1.0902125594","0.7128526464","0.309410495","0.206408196","0.193548384","","0.08013","0.0170676612","0.032258064","0.02","0.0014472549","0.006855","0.00487968","0.007","0.000603","","0.0000016411","0.0000004086","0.0000000649","","","","2829.4088538107"
"2024-10-25","962.1535218984","175.6391150459","170.9621589911","33.872115","99.7210052815","95.9324781835","34.624151","63.0734220262","61.8103638409","11.200796496","34.588","32.2288094049","22.848","15.945019165","19.1804660737","18.7690741246","14.4","14.4","5.4412903224","22.8636076776","6.72","6.0384448","5.4010293452","4.7867428784","3.8825565877","2.4871659672","1.4132171055","0.7128526464","0.2276561448","0.206408196","0.193548384","","0.06863","0.0207800994","0.032258064","0.02","0.0016827481","0.006825","0.00487968","0.0042","0.000436","","0.0000023506","0.0000004086","0.0000000649","","","","1941.8827110025"
"2024-10-26","453.0913254626","195.8733716025","134.5851559204","12.364975","97.2204548348","92.7571649062","28.817908","63.128653937","61.4078393152","5.289743496","28.549","31.9732981893","22.848","14.5556303701","19.1770337943","18.9670412615","14.4","14.4","5.4412903224","24.3435158663","6.72","6.0371996","5.4000012701","4.7877880784","3.8754053804","2.5486309672","5.814967804","0.7128526464","0.2641275334","0.206408196","0.193548384","","0.0114","0.0293172997","0.032258064","0.03","0.0007259784","0.006795","0.00487968","0.0042","0.000418","","0.0000012724","0.0000004086","0.0000000637","","0","","1375.8723279053"
"2024-10-27","183.4782735447","161.5325166272","170.4501953784","54.096055","92.8793731191","92.7228149668","13.604651","63.141578427","61.4271117464","5.184323496","30.609","31.9990198184","22.848","14.9154588023","19.1710730785","19.1350344276","14.4","14.4","5.4412903224","24.8412699989","6.72","6.0376984","5.4000445468","4.7855174784","3.875466465","2.5671009672","5.8537527185","0.7128526464","0.222328409","0.206408196","0.193548384","","0.01553","0.0267374656","0.032258064","0.03","0.0006274934","0.006795","0.00487968","0.007","0.000423","","0.0000016411","0.0000004086","0.000000065","","","","1132.9760107827"
"2024-10-28","1174.8576086453","237.6013307022","199.9299778782","83.2685","128.6576462117","97.5586423175","75.657342","63.1611448037","61.7571699573","30.987824496","44.2795","32.3959913905","22.848","16.6721793591","19.1670233634","18.7073004448","14.4","14.4","5.43934758","23.0773854145","6.72","6.0389956","5.4008612606","4.7876378784","3.8813049902","2.7292696769","2.7666503085","0.7128526464","0.2770926029","0.206408196","0.193548384","","0.05236","0.0612690387","0.032258064","0.01","0.0014545788","0.006765","0.00487968","0.0056","0.000029","","0.0002606292","0.0000006129","0.000000065","","0","","2398.7134127767"
"2024-10-29","1970.6745211655","242.9153740612","226.9890031941","10.858065","139.9038327141","96.4048674752","105.311957","63.2052526346","61.7933528986","22.530377496","46.3205","32.5378003859","22.848","17.699091894","19.1748714278","18.4224503126","14.4","14.4","10.5900428938","21.2436733143","6.72","6.0390708","5.4008024042","4.7864272784","3.8828809078","3.0386296768","2.5168672207","0.7128526464","0.3399407799","0.206408196","0.193548384","","0.06798","0.2169237348","0.032258064","0.04","0.0016840972","0.006972","0.00487968","0.0014","0.001472","","0.0005027405","0.0000004086","0.0000000457","","0","","3192.4345349327"
"2024-10-30","1623.2449762573","253.1278150907","268.4747334207","45.163555","194.3343789361","95.6752318219","223.811831","63.2990072489","61.8632021297","217.711937496","60.257","32.221762724","22.848","17.5411074101","19.1695952893","18.5322858363","14.4000026926","14.4","16.7119916388","21.2522507708","6.72","6.040452","5.4008499441","4.7879882784","3.8821923624","2.7697541928","1.1803626168","0.7128526464","0.3652630704","0.206408196","0.193548384","","0.0553","0.1472614687","0.032258064","0.04","0.0013822996","0.006825","0.00487968","0.0028","0.001152","","0.0000013259","0.0000004086","0.0000000417","","0","","3316.592196743"
"2024-10-31","552.722670816","155.9000746786","297.7040756882","17.230475","115.5113521052","95.2007554591","47.25451","63.3989107211","61.8427021656","38.500959442","26.8905","30.1913638121","22.848","14.6702049207","19.168694692","18.1697996142","14.4","14.4","16.646451612","21.0471918155","6.72","6.0388384","5.400154591","4.7857000784","3.8780315111","2.6054791928","1.0897280137","0.7128526464","0.2280203686","0.206408196","0.193548384","","0.02515","0.0683097726","0.032258064","0.02","0.0018081604","0.006795","0.00487968","0.007","0.001159","","0.0000010819","0.0000006129","0.0000000427","","","","1675.7248153388"
