"Service","Glue($)","EC2-Instances($)","CloudWatch($)","S3($)","CloudTrail($)","Relational Database Service($)","Elastic File System($)","Key Management Service($)","Managed Workflows for Apache Airflow($)","Config($)","Athena($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","GuardDuty($)","VPC($)","DynamoDB($)","Transfer Family($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","SQS($)","Lambda($)","EC2 Container Registry (ECR)($)","ElastiCache($)","Kinesis Firehose($)","WAF($)","SageMaker($)","SNS($)","Data Pipeline($)","API Gateway($)","Cost Explorer($)","SES($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-09-21","350.4990716254","61.5362226033","111.3056675741","78.1590913244","40.337165","93.1604888711","63.8107144631","15.2319273432","61.3841980877","43.076","3.03384","30.3695640956","22.848","16.8","12.3892921534","15.7061365002","15.1867139797","14.4","6.72","6.0305788","5.4000636778","4.7863596688","3.8772774362","2.730815","4.9108601721","5.0339387923","0.7238825568","0.213288468","0.2047142297","0.2000000016","","0.0429831581","0.0333333336","0.0000845604","0.02","","0.007155","0.00504252","0.0042","0.000526","0.000003674","0.0000008172","0.0000000601","","","","1090.1792015479"
"2024-09-22","262.8391210717","106.6537997471","110.0065531922","66.2845417244","11.866578","93.2288718613","63.836728177","9.0511563432","60.6824850044","43.488","4.493025","30.3735551005","22.848","16.8","12.261766687","15.2534276459","15.1554261227","14.4","6.72","6.030086","5.4","4.7881014688","3.8737528227","2.50018","4.8803157721","1.7704465422","0.7238825568","0.213288468","0.2024777888","0.2000000016","","0.0332015224","0.0333333336","0.000118375","0.02","0.00173","0.007095","0.00504252","0.0042","0.000554","0.0000033998","0.0000006129","0.0000000637","","","","996.9308459258"
"2024-09-23","669.3009878799","135.0858703913","121.1290673946","94.0157671684","62.093169","94.4236396302","63.8266933856","42.9578193432","61.7491159091","57.954","13.559185","32.1888618075","22.848","16.8","19.1749307642","16.545994529","15.1838421767","14.4","6.72","6.0304852","5.4006211797","4.7860376688","3.8805277706","2.700890556","4.7211604218","0.4294428503","0.7238825568","0.213288468","0.2095823342","0.2000000016","","0.0456009555","0.0333333336","0.0019541208","0.02","0.0008","0.007065","0.00504252","0.0042","0.000545","0.0000031842","0.0000006129","0.0000000616","","","","1589.3714081761"
"2024-09-24","925.8115574377","158.1140245484","118.4270728032","84.3137527851","33.215329","97.3197256518","63.8659290788","21.0308373432","61.7830093808","57.689","12.895965","32.1944186009","22.848","16.8","16.7410498309","15.4466005294","15.243477254","14.4","6.72","6.03021","5.4241255524","4.7877090688","3.8808777186","2.7292550008","2.7135501123","0.5621645048","0.7238825568","0.213288468","0.2104834123","0.2000000016","","0.0581314754","0.0333333336","0.2073469851","0.02","","0.006945","0.00504252","0.0042","0.000174","0.0000048025","0.0000006129","0.0000000613","","","0","1802.6704744314"
"2024-09-25","1245.5571108879","146.2104790439","112.5458645748","97.4339527823","58.939994","95.8936728159","63.9176612892","51.7652973432","61.749655458","61.7925","28.888515","31.87447279","22.848","16.200678528","16.0186542531","16.1555382079","15.2697030333","14.4","6.72","6.030694","5.401993389","4.7880016688","3.8813572675","2.6058016674","1.0159284521","1.5442190701","0.7238825568","0.213288468","0.2074967919","0.2000000016","","0.0678279239","0.0333333336","0.2633852562","0.02","0.01919","0.006945","0.00504252","","0.000582","0.0000037016","0.0000006129","0.0000000591","","","","2191.210723748"
"2024-09-26","1235.9937467744","166.0443440078","108.0660238116","153.5829457153","189.639305","95.7387485728","63.8295085165","67.2233733432","61.6928692395","67.1835","22.357165","31.2396995655","22.848","14.4","16.592176009","14.6003717258","15.318491664","14.4","6.72","6.0304272","5.4004833719","4.7865566688","4.0942995543","2.6036383341","0.9875740113","1.8365636554","0.7238825568","0.213288468","0.2117320573","0.2000000016","","0.0442929059","0.0333333336","0.2096332066","0.02","0.05487","0.006945","0.00504252","0.0042","0.00057","0.0000018903","0.0000004086","0.0000000643","","","","2394.9376041542"
"2024-09-27","1406.9577935149","164.7562924992","138.4017832947","172.9295612985","246.627624","95.1408397415","64.0745912702","85.8569373432","61.7669322098","65.509","65.4221","30.9355268557","22.848","14.4","15.2867880166","18.4414306948","15.3157890464","14.4","6.72","6.029834","5.4005559943","4.7865504688","4.83981369","2.6820650008","0.9793834903","1.2902154176","0.7261882487","0.213288468","0.2139311366","0.2000000016","0.0351814804","0.0417829412","0.0305555558","0.0021782615","0.02","0.06041","0.006975","0.00504252","0.0042","0.000548","0.000002283","0.0000006129","0.0000000709","","","0","2733.3596924279"
"2024-09-28","573.8562345366","110.4682487653","102.7245683187","110.2417481666","106.831751","93.7182511959","64.1391262206","36.3901053432","61.4032507587","45.536","4.970955","30.7954721216","22.848","14.4","13.2549438528","17.2207135232","15.3228305921","14.4","6.72","6.0274208","5.4","4.7833090688","4.8376561304","2.6370000008","0.987009252","0.5271268664","0.7284903768","0.213288468","0.2054401675","0.2000000016","","0.0409881983","0.0333333336","0.0012212318","0.02","0.0242","0.006945","0.00504252","0.0042","0.000532","0.0000026757","0.0000006129","0.0000000721","","","","1471.925406172"
"2024-09-29","348.3336355169","127.1790253632","102.5107993757","94.6974637057","71.741305","93.3330492757","64.1768673635","21.7642743432","61.3486131163","42.591","3.635635","30.8017592302","22.848","14.4","13.2112279766","14.6687503946","15.3131734812","14.4","6.72","6.0308268","5.4","4.7811766688","4.8306550736","2.6407650008","0.9693530255","0.3392738794","0.7284903768","0.213288468","0.2040648409","0.2000000016","","0.0339043752","0.0333333336","0.000948288","0.02","0.02113","0.007005","0.00504252","0.0042","0.000543","0.0000024078","0.0000008172","0.0000000733","","","","1190.1385830933"
"2024-09-30","860.0890400537","134.1997392602","108.0512716623","101.839602001","77.972765","93.3509374746","64.2611107247","61.0972203432","61.6570474029","55.9405","44.573515","31.263213664","22.848","14.4","14.4913475743","17.7095045297","15.3295069775","14.4","6.72","6.0287908","5.4002816448","4.7805526688","4.8429642384","2.6044450008","1.4938551394","5.4228367274","0.7284903768","0.213288468","0.2085175898","0.2000000016","","0.0237657688","0.0333333336","0.0558597517","0.03","0.05849","0.006945","0.00504252","0.0042","0.000184","0.0000024078","0.0000006129","0.0000000721","","0","","1832.3361677908"
