create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days
31-01-2025,360,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Google Android,52.534,54.951,2.417,56.764,50.721,53.874,54.842,53.802,-1.764814675,0.133699945
31-01-2025,125,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,1.089,1.227,0.137,1.329,0.986,1.245,1.146,1.109,8.665835411,12.24305806
31-01-2025,10000037,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Both,1.077,1.203,0.126,1.297,0.983,1.221,1.127,1.098,8.354462475,11.15157032
31-01-2025,361,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Google Android,1.011,1.145,0.134,1.246,0.91,1.146,1.067,1.065,7.432703897,7.652805611
31-01-2025,126,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,30.62,32.018,1.398,33.067,29.572,31.757,31.5,31.498,0.816330233,0.821634252
31-01-2025,10000038,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Both,30.605,31.965,1.36,32.985,29.585,31.818,31.474,31.429,1.09204793,1.238462003
31-01-2025,362,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Google Android,30.481,31.905,1.424,32.973,29.413,32.015,31.395,31.212,1.975300777,2.574262078
31-01-2025,99,LOG IN,DR_Clicks to MFA Verification,with TSV,Apple iOS,14.925,15.661,0.736,16.213,14.373,16.293,16.208,15.809,0.526204453,3.063937637
31-01-2025,10000023,LOG IN,DR_Clicks to MFA Verification,with TSV,Both,12.865,13.46,0.595,13.907,12.418,13.965,13.961,13.598,0.025580681,2.697415834
31-01-2025,335,LOG IN,DR_Clicks to MFA Verification,with TSV,Google Android,6.353,6.666,0.312,6.9,6.119,6.472,6.771,6.591,-4.419924471,-1.806982143
