create_dt,metric_id,feature_id,feature_name,metrics,display_names,operating_system_type,Date,Value
31-01-2025,383,11,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Google Android,29-08-2024,0.67
31-01-2025,384,12,RESET TV BOX,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Google Android,29-08-2024,254
31-01-2025,385,12,RESET TV BOX,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Google Android,29-08-2024,91.339
31-01-2025,386,12,RESET TV BOX,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Google Android,29-08-2024,31.034
31-01-2025,387,12,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Google Android,29-08-2024,22.414
31-01-2025,388,12,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Google Android,29-08-2024,12.931
31-01-2025,389,12,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Google Android,29-08-2024,6.299
31-01-2025,390,12,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Google Android,29-08-2024,0
31-01-2025,391,12,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Google Android,29-08-2024,0
31-01-2025,416,15,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Google Android,29-08-2024,1699
31-01-2025,417,15,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Google Android,29-08-2024,2.707
31-01-2025,418,15,SMART HELP,DR_SmartHelp - Result,Saw a Result,Google Android,29-08-2024,100
31-01-2025,419,15,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Google Android,29-08-2024,78.261
31-01-2025,420,15,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Google Android,29-08-2024,10.87
31-01-2025,421,15,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Google Android,29-08-2024,8.696
31-01-2025,422,15,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Google Android,29-08-2024,1.295
31-01-2025,423,15,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Google Android,29-08-2024,56.916
31-01-2025,424,15,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Google Android,29-08-2024,53.568
31-01-2025,425,15,SMART HELP,DR_Smarthelp P&P - Reset Complete,Smarthelp Reset Complete,Google Android,29-08-2024,15.202
31-01-2025,426,15,SMART HELP,DR_Smarthelp P&P - Let's schedule a technician visit,Schedule Tech,Google Android,29-08-2024,16.029
31-01-2025,427,15,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Google Android,29-08-2024,2.999
31-01-2025,428,15,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Google Android,29-08-2024,12.41
31-01-2025,429,15,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Google Android,29-08-2024,15.597
31-01-2025,430,15,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Google Android,29-08-2024,13.891
31-01-2025,431,15,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Google Android,29-08-2024,0.824
31-01-2025,432,15,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Google Android,29-08-2024,0.412
31-01-2025,433,15,SMART HELP,DR_SmartHelp - Agent Chat,Smarthelp_Interacted with Chat,Google Android,29-08-2024,1.059
31-01-2025,1000001,1,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Both,29-08-2024,93064
