metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,metric_nature,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,metric_seqno,level_no,feature_id,feature_seq_num,parent_id,create_dt
376,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Google Android,RESET MODEM,RM,Positive,Reset Modem Start Page Visits,,,,,Google Android_RM_1,,140,1,1.0,11,6,,2025-02-05
377,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Google Android,RESET MODEM,RM,Positive,,Started Reset Process,,,,Google Android_RM_1.1,Google Android_RM_1,141,2,2.0,11,6,376.0,2025-02-05
378,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Google Android,RESET MODEM,RM,Positive,,,Reset Process Complete,,,Google Android_RM_1.1.1,Google Android_RM_1.1,142,3,3.0,11,6,377.0,2025-02-05
379,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Google Android,RESET MODEM,RM,Negative,,,Reset Process Incomplete,,,Google Android_RM_1.1.2,Google Android_RM_1.1,143,4,3.0,11,6,377.0,2025-02-05
380,DR_Reset Modem Error -DMCA,DMCA Error,Google Android,RESET MODEM,RM,Negative,,DMCA Error,,,,Google Android_RM_1.2,Google Android_RM_1,144,8,2.0,11,6,376.0,2025-02-05
381,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Google Android,RESET MODEM,RM,Negative,,,Reset_Modem Interacted with Chat,,,Google Android_RM_1.2.1,Google Android_RM_1.2,145,5,3.0,11,6,380.0,2025-02-05
382,DR_Reset Modem - Error Outage,Error Outage,Google Android,RESET MODEM,RM,Negative,,Error Outage,,,,Google Android_RM_1.3,Google Android_RM_1,146,6,2.0,11,6,376.0,2025-02-05
383,DR_Reset Modem Error - Non Pay,Non Pay Error,Google Android,RESET MODEM,RM,Negative,,Non Pay Error,,,,Google Android_RM_1.4,Google Android_RM_1,147,7,2.0,11,6,376.0,2025-02-05
384,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Google Android,RESET TV BOX,RTB,Positive,Reset TV Box Start Page Visits,,,,,Google Android_RTB_1,,148,1,1.0,12,7,,2025-02-05
385,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Google Android,RESET TV BOX,RTB,Positive,,Reset_TV Started Reset Process,,,,Google Android_RTB_1.1,Google Android_RTB_1,149,2,2.0,12,7,384.0,2025-02-05
