create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days,metric_nature_indicator,colour_indicator
2025-02-06,1000003,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,-100.0,-100.0,Negative Within,White
2025-02-06,239,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Google Android,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Negative Within,White
2025-02-06,194,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Apple iOS,4.045,5.031,0.986,5.77,3.306,5.207,4.986,4.855,4.441388005386976,7.245103221952917,Negative Within,White
2025-02-06,100000191,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Both,3.879,4.795,0.916,5.482,3.192,4.77,4.855,4.633,-1.7594445098269975,2.957788026390573,Negative Within,White
2025-02-06,428,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Google Android,3.252,4.379,1.126,5.223,2.408,3.866,4.585,4.131,-15.678943104630125,-6.424727495703657,Negative Within,White
2025-02-06,122,OVER ALL,DR_continuing chat from new chat page,Continuing chat from new chat page,Apple iOS,3.625,4.018,0.393,4.313,3.331,4.056,3.984,3.822,1.8181818181818088,6.135408125883163,Positive Within,White
2025-02-06,100000119,OVER ALL,DR_continuing chat from new chat page,Continuing chat from new chat page,Both,3.718,4.122,0.404,4.425,3.415,4.162,4.129,3.949,0.7922504756962622,5.404447145823825,Positive Within,White
2025-02-06,358,OVER ALL,DR_continuing chat from new chat page,Continuing chat from new chat page,Google Android,4.042,4.501,0.458,4.845,3.699,4.502,4.594,4.35,-1.9965169797238447,3.4958390166898825,Positive Within,White
2025-02-06,47,DATA USAGE,DR_Data Usage Courtesy Credits,Courtesy Credit,Apple iOS,40.901,41.585,0.684,42.098,40.388,41.436,41.453,41.451,-0.04066581659028763,-0.0371519417920737,Positive Within,White
2025-02-06,10000046,DATA USAGE,DR_Data Usage Courtesy Credits,Courtesy Credit,Both,43.378,44.03,0.652,44.519,42.889,43.644,43.787,43.866,-0.3262557584141106,-0.507220772115404,Positive Within,White
2025-02-06,283,DATA USAGE,DR_Data Usage Courtesy Credits,Courtesy Credit,Google Android,50.22,51.2,0.98,51.936,49.484,50.113,50.44,50.71,-0.6480136173491069,-1.176373147455522,Positive Within,White
2025-02-06,28,COX MOBILE,DR_Change plan - Account Restrictions,Coxmob Account Restrictions,Apple iOS,0.0,0.0,0.0,0.0,0.0,0,,,0,0,Negative Within,White
2025-02-06,10000027,COX MOBILE,DR_Change plan - Account Restrictions,Coxmob Account Restrictions,Both,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Negative Within,White
2025-02-06,264,COX MOBILE,DR_Change plan - Account Restrictions,Coxmob Account Restrictions,Google Android,0.0,0.0,0.0,0.0,0.0,0,,,0,0,Negative Within,White
2025-02-06,40,COX MOBILE,DR_Mobile Billing - Activity & Statements,Coxmob Activity & Statements,Apple iOS,4.719,5.311,0.592,5.754,4.276,5.195,4.973,5.024,4.473109629970149,3.408465095910789,Positive Within,White
2025-02-06,10000039,COX MOBILE,DR_Mobile Billing - Activity & Statements,Coxmob Activity & Statements,Both,5.092,5.528,0.436,5.854,4.764,5.532,5.23,5.227,5.783046958232006,5.844536850429842,Positive Within,White
2025-02-06,276,COX MOBILE,DR_Mobile Billing - Activity & Statements,Coxmob Activity & Statements,Google Android,5.392,6.4,1.008,7.156,4.637,6.41,5.874,5.717,9.119649805447484,12.113244287938068,Positive Within,White
2025-02-06,25,COX MOBILE,DR_Add a Line,Coxmob Add a Line,Apple iOS,2.325,3.436,1.111,4.27,1.492,2.312,2.731,2.888,-15.355648535564843,-19.954761052959583,Positive Within,White
2025-02-06,10000024,COX MOBILE,DR_Add a Line,Coxmob Add a Line,Both,2.36,3.247,0.886,3.912,1.696,2.294,2.736,2.866,-16.154970760233923,-19.96278420654764,Positive Within,White
2025-02-06,261,COX MOBILE,DR_Add a Line,Coxmob Add a Line,Google Android,1.973,3.56,1.588,4.751,0.782,2.247,2.749,2.793,-18.248440748440757,-19.53734870729784,Positive Within,White
2025-02-06,42,COX MOBILE,DR_Mobile Billing - Bill Delivery Confirmation,Coxmob Bill Delivery Changes,Apple iOS,0.026,0.083,0.057,0.125,-0.016,0.094,0.083,0.064,12.864493996569474,47.258485639686704,Positive Within,White
2025-02-06,10000041,COX MOBILE,DR_Mobile Billing - Bill Delivery Confirmation,Coxmob Bill Delivery Changes,Both,0.063,0.108,0.045,0.142,0.029,0.085,0.116,0.096,-26.72413793103448,-11.396803335649759,Positive Within,White
2025-02-06,278,COX MOBILE,DR_Mobile Billing - Bill Delivery Confirmation,Coxmob Bill Delivery Changes,Google Android,0.105,0.231,0.126,0.325,0.011,0.061,0.198,0.175,-69.1696750902527,-65.15613099771515,Positive Within,White
2025-02-06,37,COX MOBILE,DR_Mobile Billing Home,Coxmob Billing Home,Apple iOS,16.63,17.96,1.33,18.958,15.633,18.137,16.483,17.143,10.03553475472353,5.800136501251255,Positive Within,White
2025-02-06,10000036,COX MOBILE,DR_Mobile Billing Home,Coxmob Billing Home,Both,16.774,17.971,1.197,18.869,15.876,17.78,16.678,17.128,6.6075068953111895,3.804612240926344,Positive Within,White
2025-02-06,273,COX MOBILE,DR_Mobile Billing Home,Coxmob Billing Home,Google Android,16.746,18.248,1.501,19.373,15.621,16.85,17.172,17.078,-1.8759618984235287,-1.3365915354407534,Positive Within,White
2025-02-06,26,COX MOBILE,DR_Change your Plan,Coxmob Change  Plan - linkout,Apple iOS,8.381,11.929,3.548,14.59,5.72,9.393,11.159,11.038,-15.824713232281857,-14.90357610934282,Positive Within,White
2025-02-06,10000025,COX MOBILE,DR_Change your Plan,Coxmob Change  Plan - linkout,Both,8.891,11.496,2.604,13.449,6.938,9.802,11.173,10.861,-12.271774152304008,-9.750206396606824,Positive Within,White
2025-02-06,262,COX MOBILE,DR_Change your Plan,Coxmob Change  Plan - linkout,Google Android,6.021,11.259,5.238,15.187,2.093,10.861,11.187,10.409,-2.911617096811252,4.3467400250434745,Positive Within,White
2025-02-06,27,COX MOBILE,DR_Change Plan - New,Coxmob Change Plan - Native,Apple iOS,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,10000026,COX MOBILE,DR_Change Plan - New,Coxmob Change Plan - Native,Both,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,263,COX MOBILE,DR_Change Plan - New,Coxmob Change Plan - Native,Google Android,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,24,COX MOBILE,DR_Change Status Exit link,Coxmob Change Status External Link,Apple iOS,4.442,5.645,1.203,6.547,3.539,4.191,4.852,4.95,-13.615617914666817,-15.325350538097867,Positive Within,White
2025-02-06,10000023,COX MOBILE,DR_Change Status Exit link,Coxmob Change Status External Link,Both,5.027,5.936,0.909,6.617,4.346,5.214,5.138,5.304,1.4848181514848224,-1.6888006184517115,Positive Within,White
2025-02-06,260,COX MOBILE,DR_Change Status Exit link,Coxmob Change Status External Link,Google Android,5.237,7.872,2.635,9.848,3.261,7.865,5.955,6.234,32.07071918629755,26.169048879477668,Positive Within,White
2025-02-06,33,COX MOBILE,DR_Device Payment Plan,Coxmob Device Payment Plan,Apple iOS,2.357,3.54,1.183,4.427,1.47,3.324,3.716,3.353,-10.559292715740929,-0.8727807709894927,Positive Within,White
2025-02-06,10000032,COX MOBILE,DR_Device Payment Plan,Coxmob Device Payment Plan,Both,1.775,2.598,0.823,3.215,1.158,2.398,2.768,2.464,-13.380463388203728,-2.6719880944327974,Positive Within,White
2025-02-06,269,COX MOBILE,DR_Device Payment Plan,Coxmob Device Payment Plan,Google Android,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,41,COX MOBILE,DR_Mobile Billing - Easypay Confirmation,Coxmob Easypay Enrollment,Apple iOS,2.441,2.935,0.494,3.305,2.07,2.247,2.549,2.58,-11.857663210983462,-12.915977676725939,Positive Within,White
2025-02-06,10000040,COX MOBILE,DR_Mobile Billing - Easypay Confirmation,Coxmob Easypay Enrollment,Both,2.405,2.83,0.425,3.149,2.086,2.064,2.536,2.558,-18.607402399864785,-19.297239527669884,Positive Below,Red
2025-02-06,277,COX MOBILE,DR_Mobile Billing - Easypay Confirmation,Coxmob Easypay Enrollment,Google Android,2.294,2.903,0.609,3.359,1.838,1.587,2.495,2.499,-36.40006870097899,-36.48697322607756,Positive Below,Red
2025-02-06,30,COX MOBILE,DR_Change Plan - Pay as Gig,Coxmob Gig Plan,Apple iOS,0.0,0.0,0.0,0.0,0.0,0,,,0,0,Positive Within,White
2025-02-06,10000029,COX MOBILE,DR_Change Plan - Pay as Gig,Coxmob Gig Plan,Both,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,Positive Within,White
2025-02-06,266,COX MOBILE,DR_Change Plan - Pay as Gig,Coxmob Gig Plan,Google Android,0.0,0.0,0.0,0.0,0.0,0,,,0,0,Positive Within,White
2025-02-06,36,COX MOBILE,DR_Opted for Gig Unlimited Plan,Coxmob Gig Unlimited Plan,Apple iOS,55.531,57.399,1.868,58.8,54.13,56.026,56.525,57.259,-0.8825447211593216,-2.15291757531018,Positive Within,White
2025-02-06,10000035,COX MOBILE,DR_Opted for Gig Unlimited Plan,Coxmob Gig Unlimited Plan,Both,56.941,58.857,1.916,60.294,55.504,58.044,58.102,58.873,-0.09957881847889423,-1.4081157746335105,Positive Within,White
2025-02-06,272,COX MOBILE,DR_Opted for Gig Unlimited Plan,Coxmob Gig Unlimited Plan,Google Android,60.427,63.416,2.989,65.657,58.186,63.309,62.065,62.828,2.0041154915572497,0.7654218415008317,Positive Within,White
2025-02-06,21,COX MOBILE,DR_Mymobile HomePage Visits,Coxmob Line Detail Page,Apple iOS,15.616,17.398,1.782,18.735,14.28,16.195,16.869,16.173,-3.9971207181267636,0.13788668558742673,Positive Within,White
2025-02-06,10000021,COX MOBILE,DR_Mymobile HomePage Visits,Coxmob Line Detail Page,Both,15.213,16.577,1.364,17.599,14.19,16.224,16.195,15.634,0.17818393521866438,3.772941256737388,Positive Within,White
2025-02-06,257,COX MOBILE,DR_Mymobile HomePage Visits,Coxmob Line Detail Page,Google Android,13.958,15.163,1.205,16.067,13.054,16.3,14.507,14.306,12.357337692391019,13.94219006675753,Positive Above,Green
2025-02-06,38,COX MOBILE,DR_Mobile Billing - Additional Payment,Coxmob Make Additional Payment,Apple iOS,5.405,6.528,1.122,7.369,4.564,6.319,5.614,6.183,12.557890986818688,2.2056405307339353,Positive Within,White
2025-02-06,10000037,COX MOBILE,DR_Mobile Billing - Additional Payment,Coxmob Make Additional Payment,Both,5.51,6.766,1.256,7.708,4.567,6.192,5.908,6.359,4.812110073995251,-2.6190526117133706,Positive Within,White
2025-02-06,274,COX MOBILE,DR_Mobile Billing - Additional Payment,Coxmob Make Additional Payment,Google Android,5.876,7.152,1.277,8.11,4.919,5.861,6.641,6.78,-11.747117535708147,-13.558822083476723,Positive Within,White
2025-02-06,35,COX MOBILE,DR_Opted for Pay as you Gig Plan,Coxmob Pay as you Gig,Apple iOS,37.934,39.766,1.832,41.14,36.56,38.661,39.313,38.775,-1.6577697509711296,-0.2933181573567733,Positive Within,White
2025-02-06,10000034,COX MOBILE,DR_Opted for Pay as you Gig Plan,Coxmob Pay as you Gig,Both,39.516,41.355,1.839,42.734,38.137,40.044,40.709,40.231,-1.633890596706945,-0.4637435714303406,Positive Within,White
2025-02-06,271,COX MOBILE,DR_Opted for Pay as you Gig Plan,Coxmob Pay as you Gig,Google Android,43.346,45.44,2.094,47.01,41.776,43.651,44.249,43.803,-1.3523984167672687,-0.34662902323672284,Positive Within,White
