metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
72,DR_Visits who did not Start EC Flow - Failure,Did_not Failure,Apple iOS,EASY CON NECT,ECN,,,Did_not Failure,,,Apple iOS_ECN_1.6.2,Apple iOS_ECN_1.6,72,3,5,70.0,Negative,2025-01-27
73,DR_Visits who did not Start EC Flow - No Result,Did_not No Result,Apple iOS,EASY CON NECT,ECN,,,Did_not No Result,,,Apple iOS_ECN_1.6.3,Apple iOS_ECN_1.6,73,3,5,70.0,Negative,2025-01-27
74,DR_Easy Connect - Self install success,,Apple iOS,EASY CON NECT,ECN,,,,,,,,74,1,5,,,2025-01-27
75,DR_Easy Connect - Self install Timeout,,Apple iOS,EASY CON NECT,ECN,,,,,,,,75,1,5,,,2025-01-27
76,cancel,,Apple iOS,KEY WORDS,KW,,,,,,,,76,1,6,,,2025-01-27
77,cancel service,,Apple iOS,KEY WORDS,KW,,,,,,,,77,1,6,,,2025-01-27
78,outage,,Apple iOS,KEY WORDS,KW,,,,,,,,78,1,6,,,2025-01-27
79,bill,,Apple iOS,KEY WORDS,KW,,,,,,,,79,1,6,,,2025-01-27
80,pay bill,,Apple iOS,KEY WORDS,KW,,,,,,,,80,1,6,,,2025-01-27
81,modem,,Apple iOS,KEY WORDS,KW,,,,,,,,81,1,6,,,2025-01-27
82,billing,,Apple iOS,KEY WORDS,KW,,,,,,,,82,1,6,,,2025-01-27
83,Setup,,Apple iOS,KEY WORDS,KW,,,,,,,,83,1,6,,,2025-01-27
84,new modem,,Apple iOS,KEY WORDS,KW,,,,,,,,84,1,6,,,2025-01-27
85,set up,,Apple iOS,KEY WORDS,KW,,,,,,,,85,1,6,,,2025-01-27
86,speed test,,Apple iOS,KEY WORDS,KW,,,,,,,,86,1,6,,,2025-01-27
87,phone number,,Apple iOS,KEY WORDS,KW,,,,,,,,87,1,6,,,2025-01-27
88,contact,,Apple iOS,KEY WORDS,KW,,,,,,,,88,1,6,,,2025-01-27
89,call,,Apple iOS,KEY WORDS,KW,,,,,,,,89,1,6,,,2025-01-27
90,outages,,Apple iOS,KEY WORDS,KW,,,,,,,,90,1,6,,,2025-01-27
91,outage map,,Apple iOS,KEY WORDS,KW,,,,,,,,91,1,6,,,2025-01-27
92,password,,Apple iOS,KEY WORDS,KW,,,,,,,,92,1,6,,,2025-01-27
93,disconnect,,Apple iOS,KEY WORDS,KW,,,,,,,,93,1,6,,,2025-01-27
94,customer service,,Apple iOS,KEY WORDS,KW,,,,,,,,94,1,6,,,2025-01-27
95,install,,Apple iOS,KEY WORDS,KW,,,,,,,,95,1,6,,,2025-01-27
