YEAR_MONTH_NBR,MONTH_END,CHANNEL_GROUP,SALES_CHANNEL_NM,RELEASE_INDICATOR,NRPA_NET_REV_RSTRT_TGT,NRPA_NET_REV_NEWCONN_TGT,NRPA_NET_REV_DWNTR_TGT,NRPA_NET_REV_DWNGRD_TGT,NRPA_NET_REV_DISC_TGT,NRPA_NET_REV_UPTR_TGT,NRPA_NET_REV_UPGD_TGT,NRPA_NET_REV_TRANS_TGT,ACCT_CHG_DISC_TGT,ACCT_CHG_DWNGRD_TGT,ACCT_CHG_DWNTR_TGT,ACCT_CHG_NEWCONN_TGT,ACCT_CHG_RSTRT_TGT,ACCT_CHG_UPGD_TGT,ACCT_CHG_UPTR_TGT,ACCT_CHG_TRANS_TGT,BASIC_SELLIN_CONN_TGT,DATA_SELLIN_CONN_TGT,HL_SELLIN_CONN_TGT,COMPL_PSU_CONN_TARGET,COMPL_PSU_DISC_TARGET,SELLIN_CUST_TGT
202306,2023-06-30 00:00:00,Retail,,2024LRP,13442.9695841279,154594.150217471,-68815.9220939352,-64512.3004814699,-271394.718930655,16094.7335027141,-3614.31532515213,-1310.59495262853,2480.02429671889,911.035741550793,2021.17624207988,1666.71301229709,106.385936955134,777.198154394117,582.862378945919,472.583253389808,,,,3989.76,,
202307,2023-07-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,16949.7381027073,,
202307,2023-07-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,47620.6927647492,,
202307,2023-07-31 00:00:00,Lead Referral,,2024LRP,17543.9524855685,201755.453584037,-9188.25331877531,-5154.48643458764,-76635.0894756535,28666.9636195893,3347.78974291946,-382.966426859422,887.297368672648,665.246196774935,250.902526942081,4500.44588118343,287.262503054263,116.311619347826,533.975617956637,64.6961721255822,3432.84432207216,,,982.723023382709,-971.960640457898,
202307,2023-07-31 00:00:00,Other,,2024LRP,4081.99506433395,46942.9432398406,-442741.723562779,-102906.80224987,-133701.770591868,145577.075046543,7340.03043369104,-76937.1299137619,1256.38998439378,2138.16112244912,7986.93174464787,722.691549665572,46.1292478509941,249.786996053356,4942.33943561744,395.007696823585,556.880438327849,,,841.166414368666,-45192.0964229816,
202307,2023-07-31 00:00:00,Sales Operations,,2024LRP,315.042030143616,3622.98334665158,-11651.85326369,-30521.3588131677,-71715.3812368222,87281.4827836341,417.958254360295,-51655.1326309363,854.447922809813,380.173064336424,422.557214714264,35.8311399872121,2.28709404173695,7.61711190476094,7389.52270048601,6.45517468171209,41.8043177307493,,,35.9151414125803,-4103.98376070268,
202307,2023-07-31 00:00:00,Inbound,,2024LRP,203326.938656868,2338259.79455399,-55854.4275068499,-10803.8712934387,-447733.270643897,321601.31229693,208885.833800723,-61495.0853472328,4832.16709336073,341.013786149936,1911.87715712207,25327.36,1616.64,3157.92515909003,11034.5384395863,15203.2537029618,9493.11856198535,,,50902.8116516102,-16879.7204204868,
202307,2023-07-31 00:00:00,Retail,,2024LRP,155932.793228188,1793227.12212416,-662145.757592224,-770588.580467616,-2806989.27056304,319795.739497503,61809.4767240037,7050.3115160101,23829.2200619062,9696.28101566635,18793.6728453746,19820.4305439988,1265.13386451056,6999.89165723129,10401.4205485743,4617.47614574158,11456.6013153701,,,38934.0666666667,-50750.5130683257,
202307,2023-07-31 00:00:00,Retention,,2024LRP,18367.0470895121,211221.04152939,-2078419.2,-978653.938245723,-5276031.89033221,857647.753924927,28722.1786346575,-17096.4987296654,50117,12970.8938137273,60560,2173.34142297852,138.723920615651,1814.78547531259,16790.2849241372,1811.06978068489,765.605674093514,,,7356.86491414823,-95937.5560343524,
202307,2023-07-31 00:00:00,Outbound,,2024LRP,959.410755666327,11033.2236901628,-37772.9276585231,-3745.14083257148,-1614.58347426688,14892.0610716865,285.142765523564,-1914.2831824008,28.0167886358737,59.0520025535126,1013.75212761372,280.396892893187,17.8976740144587,171.820477051396,750.273122614733,116.210322896844,41.2315622210932,,,493.123342216236,-198.835094273452,
202307,2023-07-31 00:00:00,Online,Cox.com,2024LRP,260214.403075457,2992465.63536777,-1133873.02978352,-283403.77933926,-257747.39231204,744287.765703131,83545.9623685059,-35054.5977563107,2837.3732813688,3923.7437160315,35500.029867275,47183.938829269,3011.74077633632,1217.45305955847,20712.3273311476,13463.3267841716,5101.70531255817,,,,-26101.9036251007,
202307,2023-07-31 00:00:00,Field Sales,,2024LRP,12852.5638644639,147804.484441335,-1018.67031914742,-496.771245810099,-30059.2253569446,2275.50695735893,1697.41157181514,2773.37393152554,358.748651707616,8.63423238991152,36.6747705091894,3388.3656885866,216.278660973613,23.7098391254276,83.340602486105,426.195970530457,972.492885885231,,,4073.42310583392,-5243.55152349348,
202307,2023-07-31 00:00:00,Care,,2024LRP,5844.02325118461,67206.2673886231,-132856.913235989,-41960.5106583747,-55377.0854546475,480681.717585986,12673.2088602984,101.522599935517,386.109267022155,563.143237159739,5970.68241959743,656.929860693321,41.9316932357439,190.110338182725,26536.4443645825,25.8767295422329,354.817413401338,,,888.701160355905,-1913.20290254377,
202307,2023-07-31 00:00:00,Field Sales,,2024LRP,40309.1968374028,463555.763630132,-17380.6566469101,-4284.31162229526,-107666.330450477,17457.1757146624,16645.1995626025,-3146.65191393229,1255.31433735752,79.7387878567241,331.849078758372,5619.71961990166,358.705507653297,269.735777365971,422.311663857655,1976.89272380258,2762.44915086539,,,9078,-3380.67650728161,
202307,2023-07-31 00:00:00,Retail,,2024LRP,12884.2476630535,148168.848125115,-62341.2858825973,-60851.9415177236,-225344.882417092,14956.0495415603,-133.127575116768,-1733.21662414524,2033.67331328379,850.748484264341,1822.08327121267,1646.1048738258,105.070523861221,590.522510811517,581.648105148905,491.641421193046,,,,3874.61333333333,,
202308,2023-08-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,19306.4155743651,,
202308,2023-08-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,54241.8342327401,,
202308,2023-08-31 00:00:00,Lead Referral,,2024LRP,17849.8921689605,205273.759943046,-9797.85663447852,-4970.54638367917,-77217.0064521923,30690.9213370884,2678.50451632944,-693.621656562307,913.18138142181,534.734153827679,311.102938309232,5119.15370456706,326.754491780878,90.7206550583418,588.318741932307,63.3699777511083,3929.64652780419,,,1302.72666655426,-1032.85115921034,
202308,2023-08-31 00:00:00,Other,,2024LRP,6125.0952389636,70438.5952480813,-941635.649235068,-95907.703119158,-127266.785847208,186902.650251295,7133.0745046539,-71026.9084904517,1211.93898943637,2030.41647470481,17147.0451462218,1036.1552604408,66.1375698153702,230.141330660914,6133.39954333261,341.780784331658,591.264795752592,,,933.319050493453,-48023.2503608711,
202308,2023-08-31 00:00:00,Sales Operations,,2024LRP,458.583722700787,5273.71281105905,-11185.3198000395,-30106.7825566377,-69579.5054119914,106800.728607743,201.192884497108,-49504.9964034835,818.381844434881,355.366834465343,437.775757469242,52.1101601112495,3.32618043263295,4.43578266642954,9138.3197271575,6.21549517404492,47.79821192618,,,39.8497670721745,-4361.08645574913,
202308,2023-08-31 00:00:00,Inbound,,2024LRP,219505.647476713,2524314.94598221,-57949.3636544711,-11038.7784244229,-435681.892818764,375044.715556779,180395.328278416,-57756.6431872118,4790.80183489568,337.736484956363,1753.91536484477,27463.04,1752.96,2793.36215977727,12901.4350036731,14127.4402080429,10318.6419702527,,,55810.3162879626,-17937.1860111876,
202308,2023-08-31 00:00:00,Retail,,2024LRP,167483.42485764,1926059.38586286,-659542.1198077,-725327.502968775,-2634918.32896399,391908.112984144,86685.3708580585,12225.4253715373,22656.2195095786,9321.5933545026,19208.4806915146,21588.087450978,1377.96302878583,5842.17653105731,13150.5223600822,4355.5536299422,12845.5565092737,,,41083.2614065391,-53929.8857085876,
202308,2023-08-31 00:00:00,Retention,,2024LRP,20333.0172472426,233829.69834329,-2248727.42443603,-895521.073105529,-5026270.5536336,1011988.81617263,32536.0204083625,-17320.0932382912,48769,11592.5058007188,63380.1416131914,2415.70225131547,154.193760722264,1735.25442177933,20952.1494031601,1679.71486539799,819.996333118298,,,8234.6468753947,-101947.766028063,
202308,2023-08-31 00:00:00,Outbound,,2024LRP,1100.16305038897,12651.8750794732,-35612.2283755647,-3942.85434047644,-1916.55724074227,16784.960675644,965.450548212761,-2715.40976998034,27.4923139321159,50.0267195814429,977.285794935313,279.551186995086,17.8436927869204,209.474123056993,862.20373294179,131.614196468631,47.2475303061325,,,547.146678316737,-211.291536985781,
202308,2023-08-31 00:00:00,Online,Cox.com,2024LRP,293018.020635982,3369707.2373138,-1182459.21827665,-273647.575007328,-249602.432820169,980264.744218117,78412.2712917362,-39378.3518743844,2756.74215896815,3870.66398063856,37272.6081753289,52875,3375,1124.26480725544,27381.6967658692,12833.7856727447,5672.51346340079,,,,-27737.1122806795,
202308,2023-08-31 00:00:00,Field Sales,,2024LRP,13595.0972276328,156343.618117777,-993.57572181791,-633.623299775201,-28404.1126894445,2336.85280299008,1651.37727988613,3194.82321569266,336.493246996688,8.92066872591241,39.5426802887138,3570.81269383761,227.924214500273,25.7235575058342,86.0165342535618,417.19229496254,1094.01515465804,,,4097.51796492413,-5572.04483801729,
202308,2023-08-31 00:00:00,Care,,2024LRP,6626.66761141348,76206.677531255,-125178.399959716,-38891.1833565744,-51272.2617158434,586061.089658922,11727.1931161084,45.9756290330921,362.649360676774,537.415255877877,5871.77467985806,758.400546514608,48.408545522209,180.947381574108,33133.6923131897,24.0028016756169,405.452793811721,,,986.061389265449,-2033.05952262223,
202308,2023-08-31 00:00:00,Field Sales,,2024LRP,45361.998768498,521662.985837728,-19004.0684190204,-4683.56652485153,-95126.7997330989,20623.3199435463,15064.8987357465,-1738.04366421374,1122.30996449031,84.5811214106407,354.840938079312,6469.81955164364,412.967205424061,239.200349840858,480.986725277136,1798.71720805999,3068.81428852244,,,9814,-3592.46609802636,
