"channel_group","month_end","activity","accounts changed target","net revenue target","compl_psu_conn_target"
"Care","5/1/21","New Connect","592","54269.93","1432"
"Care","5/1/21","Transfer","37","268.96","1432"
"Care","5/1/21","Upgrade","149","9092.36","1432"
"Care","5/1/21","Uptier","54156","726103.37","1432"
"Care","6/1/21","Disconnect","472","-60555.98","1571"
"Care","6/1/21","Downgrade","824","-66197.84","1571"
"Care","6/1/21","Downtier","12699","-259645.42","1571"
"Care","6/1/21","New Connect","690","64412.2","1571"
"Care","6/1/21","Transfer","38","339.93","1571"
"Care","6/1/21","Upgrade","137","8148.16","1571"
"Care","6/1/21","Uptier","55641","723783.09","1571"
"Care","7/1/21","Disconnect","378","-50886.7","1511"
"Care","7/1/21","Downgrade","781","-58289.77","1511"
"Care","7/1/21","Downtier","11658","-238319.79","1511"
"Care","7/1/21","New Connect","683","64360.58","1511"
"Care","7/1/21","Transfer","38","919.94","1511"
"Care","7/1/21","Upgrade","129","8610.9","1511"
"Care","7/1/21","Uptier","56326","703884.36","1511"
"Care","8/1/21","Disconnect","364","-48221.02","1459"
"Care","8/1/21","Downgrade","730","-59152.67","1459"
"Care","8/1/21","Downtier","11601","-229423","1459"
"Care","8/1/21","New Connect","758","67710.25","1459"
"Care","8/1/21","Transfer","33","-458.04","1459"
"Care","8/1/21","Upgrade","163","10998.49","1459"
"Care","8/1/21","Uptier","59199","714583.47","1459"
"Care","9/1/21","Disconnect","363","-50081.13","1505"
"Care","9/1/21","Downgrade","797","-65976.98","1505"
"Care","9/1/21","Downtier","10436","-206253.02","1505"
"Care","9/1/21","New Connect","748","71310.71","1505"
"Care","9/1/21","Transfer","37","935.8","1505"
"Care","9/1/21","Upgrade","144","10719.53","1505"
"Care","9/1/21","Uptier","56518","673524.17","1505"
"Care","10/1/21","Disconnect","368","-51106.94","1574"
"Care","10/1/21","Downgrade","731","-60806.9","1574"
"Care","10/1/21","Downtier","9439","-184049.85","1574"
"Care","10/1/21","New Connect","776","79560.21","1574"
"Care","10/1/21","Transfer","37","-939.28","1574"
"Care","10/1/21","Upgrade","185","12642.19","1574"
"Care","10/1/21","Uptier","55900","758092.18","1574"
"Care","11/1/21","Disconnect","345","-44690.16","1624"
"Care","11/1/21","Downgrade","628","-54760.73","1624"
"Care","11/1/21","Downtier","8722","-166320.02","1624"
"Care","11/1/21","New Connect","894","90711.25","1624"
"Care","11/1/21","Transfer","28","385.67","1624"
"Care","11/1/21","Upgrade","164","11452.88","1624"
"Care","11/1/21","Uptier","55170","718508.95","1624"
"Care","12/1/21","Disconnect","321","-43560.62","1589"
"Care","12/1/21","Downgrade","662","-57532.09","1589"
"Care","12/1/21","Downtier","8998","-176842.96","1589"
"Care","12/1/21","New Connect","919","96292.2","1589"
"Care","12/1/21","Transfer","26","271.96","1589"
"Care","12/1/21","Upgrade","177","13754.41","1589"
"Care","12/1/21","Uptier","52914","691575.01","1589"
"Care","1/1/22","Disconnect","337","-48077.81","1685"
"Care","1/1/22","Downgrade","780","-67927.21","1685"
"Care","1/1/22","Downtier","9351","-187318.38","1685"
"Care","1/1/22","New Connect","934","95419.6","1685"
"Care","1/1/22","Transfer","29","423.14","1685"
"Care","1/1/22","Upgrade","211","14066.17","1685"
"Care","1/1/22","Uptier","54522","710434.88","1685"
"Care","2/1/22","Disconnect","360","-49457.38","1648"
"Care","2/1/22","Downgrade","729","-61736.43","1648"
"Care","2/1/22","Downtier","8010","-162455.51","1648"
"Care","2/1/22","New Connect","970","100591.93","1648"
