"CUSTOMER_CATEGORY_DESC","E2E_FINAL_TREATMENT","customer_status_cd","contact_date","Type","channel","customer_key","contact_id","subcontact_id","total_agents","interactions","self_service","chat_count","call_count"
"COLLECTIONS ASSISTANCE","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","1","1","1","0","1","1","0","0"
"COLLECTIONS ASSISTANCE","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","3","3","3","4","14","2","0","4"
"COLLECTIONS ASSISTANCE","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","4","4","4","1","12","3","0","1"
"INTERNAL COX ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","169","169","229","3","569","226","3","0"
"INTERNAL COX ACCOUNT","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","2","2","3","0","3","3","0","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","8","8","11","3","20","9","3","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","7","7","7","7","15","1","0","7"
"INTERNAL COX ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","106","106","122","100","263","44","0","100"
"INTERNAL COX ACCOUNT","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","2","2","3","0","3","3","0","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","7","7","7","7","15","1","0","7"
"INTERNAL COX ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","169","169","229","3","569","226","3","0"
"INTERNAL COX ACCOUNT","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","8","8","11","3","20","9","3","0"
"INTERNAL COX ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","106","106","122","100","263","44","0","100"
"MASTER ACCOUNT/DEVELOPMENT","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","3","3","3","3","8","1","0","3"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"MASTER ACCOUNT/DEVELOPMENT","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"MASTER ACCOUNT/DEVELOPMENT","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","3","3","3","3","8","1","0","3"
"NATIONAL COMMERCIAL","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","7","7","8","7","17","3","7","0"
"NATIONAL COMMERCIAL","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","53","53","66","50","136","22","0","50"
"NATIONAL COMMERCIAL","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","37","37","45","32","80","14","0","32"
"NATIONAL COMMERCIAL","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","191","191","224","132","396","105","0","132"
"NATIONAL COMMERCIAL","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","53","53","56","10","238","47","10","0"
"NATIONAL COMMERCIAL","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","53","53","56","10","238","47","10","0"
"NATIONAL COMMERCIAL","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","191","191","224","132","396","105","0","132"
"NATIONAL COMMERCIAL","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","53","53","66","50","136","22","0","50"
"NATIONAL COMMERCIAL","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","37","37","45","32","80","14","0","32"
"NATIONAL COMMERCIAL","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","3","3","3","2","6","2","2","0"
"NATIONAL COMMERCIAL","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","3","3","3","2","6","2","2","0"
"NATIONAL COMMERCIAL","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","7","7","8","7","17","3","7","0"
"PAY UNAUTHORIZED","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","7","7","9","0","10","9","0","0"
"PAY UNAUTHORIZED","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","7","7","9","0","10","9","0","0"
"AGREED-CREDIT TERMS","Diamond","A","2023-10-01","Single/Mutiple Relation Location","Phone First","1","1","1","1","2","0","0","1"
"AGREED-CREDIT TERMS","Diamond","A","2023-10-01","Single/Mutiple Account Location","Phone First","1","1","1","1","2","0","0","1"
"BUSINESS ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","3","3","5","0","7","5","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","3","3","5","0","7","5","0","0"
"CARRIER","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Phone First","6","6","6","6","15","0","0","6"
"CARRIER","Bronze","A","2023-10-01","Single/Mutiple Relation Location","Digital First","5","5","5","5","14","2","4","1"
"CARRIER","Bronze","A","2023-10-01","Single/Mutiple Account Location","Phone First","6","6","6","6","15","0","0","6"
"CARRIER","Bronze","A","2023-10-01","Single/Mutiple Account Location","Digital First","5","5","5","5","14","2","4","1"
"CB BRONZE","Silver","A","2023-10-01","Single/Mutiple Account Location","Digital First","41","41","61","6","233","55","4","2"
"CB BRONZE","Diamond","A","2023-10-01","Single/Mutiple Account Location","Digital First","2","2","2","0","2","2","0","0"
